c,f,l,r,id
,Wilfried,Bony,76,189963
,Yannis,Salibur,76,190014
,Steven,Zuber,76,190059
,Tolgay,Arslan,76,190761
,Peter,Pekarík,76,190854
,Fredy,Montero,76,190919
,Osvaldo,Alonso,76,190971
,Gökhan,Töre,76,191032
,Valon,Berisha,76,191783
,Paul,Lasne,76,192242
Júnior Caiçara,Uílson de Souza,Paula Júnior,76,192427
,Daniel,Ginczek,76,192445
,Shane,Duffy,76,192622
Carlos Eduardo,Carlos Eduardo,de Oliveira Alves,76,192708
,Guram,Kashia,76,192904
,Martin,Braithwaite,76,193290
,Philipp,Bargfrede,76,193311
,Mattia,Destro,76,193338
Rômulo,Rômulo Souza,Orestes Caldeira,76,193839
Gil,Carlos Gilberto,do Nascimento Silva,76,193869
,Alper,Potuk,76,194079
,Pontus,Jansson,76,194201
Laguardia,Víctor,Laguardia Cisneros,76,194222
,Shinji,Okazaki,76,194365
,Ishak,Belfodil,76,194728
Renan Ribeiro,Renan,Ribeiro,76,194781
,Craig,Dawson,76,194806
,Florent,Hanin,76,194846
,Florian,Kainz,76,195038
,Radosav,Petrović,76,195087
,Jeffrey,Bruma,76,195363
,Danny,Ings,76,195859
,Yevhen,Khacheridi,76,195860
,Macnelly,Torres,76,196142
,Dorlan,Pabón,76,196143
,Serdar,Gürler,76,196318
Héldon,Héldon Augusto,Almeida Ramos,76,196899
,Ioannis,Fetfatzidis,76,197117
,Khouma,Babacar,76,197231
Jordi Amat,Jordi,Amat Maas,76,198198
,Stefan,Bell,76,198352
Tomás Pina,Tomás,Pina Isla,76,198368
,Zakaria,Labyad,76,198640
,Danilo,D'Ambrosio,76,198946
,Kévin,Malcuit,76,198949
,Juan,Iturbe,76,199151
Sergio Álvarez,Sergio,Álvarez Díaz,76,199158
,Jordy,Clasie,76,199422
Diego Mariño,Diego,Mariño Villar,76,199493
André André,André Filipe,Brás André,76,199626
,Dennis,Praet,76,199652
Timor,David,Timor Copoví,76,199829
Vicente Gómez,José Vicente,Gómez Umpiérrez,76,199977
,Nicolás,Blandi,76,200197
Alan Patrick,Alan Patrick,Lourenço,76,200206
,Santiago,García,76,200278
,Lukas,Rupp,76,200469
,James,Forrest,76,200630
Marafona,José Carlos,Coentrão Marafona,76,200798
,Łukasz,Teodorczyk,76,201013
,Nicola,Sansone,76,201858
,Valentin,Eysseric,76,201878
Recio,José Luis,García del Pozo,76,201893
,Federico,Fernández,76,201988
,Remo,Freuler,76,202024
,Felix,Klaus,76,202088
Serantes,Jon Ander,Serantes Simón,76,202410
David Juncà,David,Juncà Reñé,76,202501
Jesé,Jesé,Rodríguez Ruiz,76,202515
,Willy,Boly,76,202750
,Federico,Viviani,76,202828
,Gregoire,Defrel,76,202851
,Thomas,Monconduit,76,203128
,Terence,Kongolo,76,203485
Pozuelo,Alejandro,Pozuelo Melero,76,203895
,Viktor,Fischer,76,203965
,Konstantinos,Fortounis,76,203980
,Kenny,Lala,76,204105
,Jürgen,Locadia,76,204366
,Raúl,Ruidíaz,76,204538
,Joel,Campbell,76,204713
Bernat,Juan,Bernat Velasco,76,205069
,Naïm,Sliti,76,205257
,Solomon,Kverkvelia,76,205469
,Marko,Livaja,76,205855
,Nathaniel,Chalobah,76,205897
,Stefan,Ristovski,76,205965
,Jetro,Willems,76,205995
,Will,Hughes,76,206516
,Jack,Grealish,76,206517
,Eduardo,Vargas,76,206655
Renan Bressan,Renan Bardini,Bressan,76,207412
,Leandro,Trossard,76,207421
,Luciano,Vietto,76,207441
,Joël,Veltman,76,208004
,Ivan,Santini,76,208017
,Dimitrios,Pelkas,76,208053
Gabriel,Gabriel,Appelt Pires,76,208141
,Petros,Mantalos,76,208224
,Andreas,Samaris,76,208230
,Christophe,Hérelle,76,208449
,Marten,de Roon,76,208461
,Munas,Dabbur,76,208498
Rubén Sobrino,Rubén,Sobrino Pozuelo,76,208622
,Abdul Rahman,Baba,76,209620
,Júnior,Fernandes,76,209827
De Tomás,Raúl,de Tomás Gómez,76,210315
,Luca,Zuffi,76,210538
,Kevin,Mbabu,76,210625
,Ahmed,Hegazi,76,210648
Emerson,Emerson,Palmieri dos Santos,76,210736
,Rodolfo,Pizarro,76,210761
Ricardo Ferreira,Ricardo José,Araújo Ferreira,76,210862
,Pablo,De Blasis,76,210950
,Lisandro,Magallán,76,211263
,Gianluca,Lapadula,76,211302
,Moussa,Konaté,76,211321
,Riza,Durmisi,76,211385
,Karol,Linetty,76,211408
Kwon Chang Hoon,Chang Hoon,Kwon,76,211927
,Brandon,Mechele,76,212204
,Alexander,Djiku,76,212219
Iuri Medeiros,Iuri José,Picanço Medeiros,76,212230
,Arthur,Masuaku,76,212491
Diego Llorente,Diego Javier,Llorente Ríos,76,212602
,DeAndre,Yedlin,76,212722
,Carlos,Salcedo,76,212888
Hernâni,Hernâni Jorge,Santos Fortes,76,212911
,Alan,Ruiz,76,213582
,Pierre-Emile,Højbjerg,76,213648
,Alex,Iwobi,76,213655
,Federico,Di Francesco,76,213814
Thiago Mendes,Thiago Henrique,Mendes Ribeiro,76,213874
,Éder,Balanta,76,213899
,Matheus,Uribe,76,214047
,Diego,González,76,214770
,Martín,Benítez,76,214989
,Alejandro,Donatti,76,215162
,Walter,Benítez,76,215223
Lucas Evangelista,Lucas E.,Santana de Oliveira,76,215559
Ayoze Pérez,Ayoze,Pérez Gutiérrez,76,215590
Kenedy,Robert Kenedy,Nunes do Nascimento,76,215639
,Aleksandar,Mitrović,76,215716
,Tin,Jedvaj,76,215930
,Nery,Domínguez,76,216054
,Armando,Izzo,76,216145
,Silvan,Widmer,76,216158
,Ihlas,Bebou,76,216258
,Alen,Halilović,76,216349
Wallace,Wallace,Fortuna Santos,76,216437
,Wesley,Hoedt,76,216774
,Federico,Cartabia,76,216796
,Moses,Simon,76,216820
,José Luis,Palomino,76,217196
,Genki,Haraguchi,76,217648
Sandro,Sandro,Ramírez Castillo,76,217731
Pedro Henrique,Pedro Henrique,Pereira da Silva,76,219258
Camarasa,Víctor,Camarasa Ferrando,76,219571
,Samuel,Gigot,76,219581
Embarba,Adrián,Embarba Blazquez,76,219953
,Enner,Valencia,76,220295
,Óscar,Romero,76,220334
Diego Rico,Diego,Rico Salguero,76,220414
Jaume,Jaume,Domenech Sánchez,76,220604
,Demarai,Gray,76,220633
,Jean-Eudes,Aholou,76,220905
,Miloš,Veljković,76,221354
,Donny,van de Beek,76,221363
,Godfred,Donsah,76,221695
,Breel,Embolo,76,222357
,Rick,Karsdorp,76,222558
,Şener,Özbayraklı,76,223188
,Mario,Pašalić,76,223273
Danilo,Danilo Barbosa,da Silva,76,223517
Mata,Jaime,Mata Arnaiz,76,223578
Eraso,Javier,Eraso Goñi,76,223608
,Timo,Baumgartl,76,223641
André Simões,André Luís,Gomes Simões,76,224075
Borja Iglesias,Borja,Iglesias Quintas,76,224179
,Nicolò,Barella,76,224232
Fábio Martins,Fábio,Santos Martins,76,224394
,Emmanuel,Boateng,76,224540
,Ivan,Ordets,76,224811
,Steve,Mounié,76,224883
,Mason,Holgate,76,225024
,Joe,Gomez,76,225100
,Ellyes,Skhiri,76,225126
Alex Berenguer,Alejandro,Berenguer Remiro,76,225201
,Jean-Kévin,Augustin,76,225713
,Kieran,Tierney,76,226491
,Vincent,Janssen,76,226537
,Jakub,Jankto,76,226592
Vitor Hugo,Vitor Hugo,Franchescoli Souza,76,226601
,Rodrigo,Bentancur,76,227535
Pedraza,Alfonso,Pedraza Sag,76,228302
,Florian,Grillitsch,76,228336
Matheus Pereira,Matheus Fellipe,Costa Pereira,76,228414
Francisco Geraldes,Francisco,Geraldes,76,228650
,Kasper,Dolberg,76,228687
,Yoshinori,Mutō,76,228717
,Aminu,Umar,76,229092
Dalbert,Dalbert,Chagas Estevão,76,229148
,Milot,Rashica,76,229167
Gil Dias,Gil,Bastiao Dias,76,229453
,Dayot,Upamecano,76,229558
,Marko,Pjaca,76,229593
,Ante,Ćorić,76,229594
,Ben,Chilwell,76,229984
,Mouctar,Diakhaby,76,230578
Iván Alejo,Iván,Alejo Peralta,76,231280
,Issa,Diop,76,231633
,Yusuf,Yazıcı,76,231887
,Ruslan,Malinovskyi,76,231969
,Felix,Uduokhai,76,232144
,Denys,Boyko,76,232226
,Christopher,Nkunku,76,232411
,Theo,Hernández,76,232656
,Mauro,Arambarri,76,232665
,Yu,Kobayashi,76,233138
,Henry,Onyekuru,76,234045
,Dimitri,Liénard,76,235042
,Ismaïla,Sarr,76,235353
,Manuel,Lazzari,76,235374
,Marko,Rog,76,236311
,Fabricio,Bustos,76,236441
Alfa Semedo,Alfa,Semedo Esteves,76,239641
,Andriy,Lunin,76,243952
,Filip,Benković,76,244269
,Omar,Abdulrahman,76,245221
,Albano,Bizzarri,76,14907
,Daniele,Bonera,76,45595
,Silvio,Proto,76,47201
Iraizoz,Gorka,Iraizoz Moreno,76,114764
Diego Tardelli,Diego,Tardelli Martins,76,138456
,Willy,Caballero,76,139062
,Vincent,Enyeama,76,139968
Jô,João Alves,de Assis Silva,76,140384
,Gonzalo,Rodríguez,76,142780
,Pablo,Zabaleta,76,142784
,Mariano,Barbosa,76,142959
,José,Sosa,76,143121
,Gökhan,Gönül,76,143699
,Oscar,Wendt,76,144429
Andrés Fernández,Andrés Eduardo,Fernández Moreno,76,146296
Iván Cuéllar,Iván,Cuéllar Sacristán,76,146952
,Javier,Pinola,76,146963
,Francesco,Magnanelli,76,149185
,Gaël,Clichy,76,152554
Bobô,Deivson Rogério,Da Silva,76,152814
,Mark,Noble,76,152879
,Renato,Civelli,76,152993
,Neri,Cardozo,76,157217
,Jorge,Valdivia,76,157492
,Scott,Dann,76,157665
,Aaron,Hunt,76,158138
,Philipp,Tschauner,76,158777
,Pirmin,Schwegler,76,158905
Léo Matos,Leonardo,de Matos Cruz,76,158942
,Matías,Silvestre,76,159028
,Valon,Behrami,76,161805
,Mauro,Boselli,76,161938
,Jonathan,Orozco,76,163301
,David,Limberský,76,163488
,Ashley,Williams,76,163824
,Cyril,Théréau,76,164985
,Stephen,Ward,76,165321
,Nicolás,Domingo,76,167665
,Salvatore,Bocchetti,76,168326
,Fredy,Guarín,76,169051
,Andrey,Eschenko,76,170923
,Caner,Erkin,76,171875
,James,McArthur,76,171972
,Jonatan,Maidana,76,172018
,Lasse,Schøne,76,172143
,Fraser,Forster,76,172203
,Andrew,Surman,76,172768
,Glenn,Murray,76,172937
,Luca,Antonelli,76,173204
,Héctor,Moreno,76,173432
,Dmytro,Chygrynskyi,76,176483
Mossoró,José Márcio,da Costa,76,176894
,Fabian,Lustenberger,76,177019
,Demba,Ba,76,177134
,Haris,Medunjanin,76,177390
,Paul,Baysse,76,178031
,Lazaros,Christodoulopoulos,76,178115
,Thomas,Mangani,76,178160
,Emiliano,Insúa,76,179696
,Sam,Vokes,76,179746
,Thomas,Kraft,76,179954
Ki Sung Yueng,Sung Yueng,Ki,76,180283
,Albin,Ekdal,76,181318
,William,Vainqueur,76,181402
Koo Ja Cheol,Ja Cheol,Koo,76,182152
,Andrea,Ranocchia,76,182168
,Dale,Stephens,76,182184
Beto,António Alberto,Bastos Pimparel,76,182629
Ricardo,Ricardo Jorge,Novo Nunes,76,182736
,Håvard,Nordtveit,76,182888
,Pablo,Aguilar,76,182941
,Ciaran,Clark,76,183129
,Marc,Albrighton,76,183130
,Moussa,Sissoko,76,183394
,Daniel,Schwaab,76,183426
,Nabil,El Zhar,76,183526
,Jonathan,Hogg,76,183546
,Sebastian,Langkamp,76,183568
,Simon,Terodde,76,183714
Felipe,Felipe,Dal Bello,75,768
Tarantini,Ricardo José,Monteiro,75,3281
Ricardo Costa,Ricardo Miguel,Moreira Costa,75,20209
,Emiliano,Moretti,75,46736
,Ludovic,Butelle,75,49472
,Jaime,Valdés,75,105318
,Artur,Boruc,75,105846
,Yohann,Pelé,75,107298
,Selçuk,İnan,75,124607
,Hasan Ali,Kaldırım,75,125871
,Simon,Francis,75,135883
,Wes,Morgan,75,136113
,Goran,Pandev,75,137506
,Luca,Rigoni,75,138918
,Christian,Fuchs,75,139313
Rafael,Rafael Pinheiro,Andrade Bittencourt,75,140082
,Volkan,Demirel,75,143632
Mikel Rico,Mikel,Rico Moreno,75,146111
Diego Castro,Diego,Castro Giménez,75,147006
,Paul,Verhaegh,75,148839
,Christian,Maggio,75,149184
,Christophe,Jallet,75,150590
,Ramazan,Özcan,75,152211
,Jean-Louis,Leca,75,153275
,Yoann,Gourcuff,75,153296
,Bartosz,Białkowski,75,155871
,Robert,Snodgrass,75,155946
,José de Jesús,Corona,75,156412
,Alexandre,Song,75,157503
,Laurent,Ciman,75,157678
Gelson Fernandes,Gelson,Tavares Fernandes,75,158438
,Oribe,Peralta,75,158543
,Gökhan,İnler,75,158810
,Michael,Krohn-Dehli,75,159240
,Andrés,Pérez,75,159591
,Pablo,Guiñazú,75,161468
,Adrian,Mierzejewski,75,162280
Rolando,Rolando Jorge,Pires da Fonseca,75,163083
,Guillaume,Gillet,75,163186
,Andrea,Raggi,75,163407
,Bacary,Sagna,75,163419
,Nicolas,Lombaerts,75,163492
,Dennis,Aogo,75,164491
,Stéphane,M'Bia,75,164959
,Jakub,Błaszczykowski,75,164994
,Brad,Jones,75,165735
Cássio,Cássio,Albuquerque Anjos,75,165769
Bebé,Tiago Manuel,Dias Correia,75,166074
Zeca,José Carlos,Gonçalves Rodrigues,75,168621
,Kenneth,Vermeer,75,169181
,Scott,Sinclair,75,169214
,Charlie,Daniels,75,169638
,Wayne,Hennessey,75,170084
,Tim,Krul,75,170597
,Nicolás,Spolli,75,171830
,Hugo,Ayala,75,171896
De la Bella,Alberto,de la Bella Madueño,75,172013
,Matías,Fritzler,75,172113
,Souleymane,Bamba,75,172425
,Jonas,Lössl,75,172553
,Keiren,Westwood,75,172939
,Luca,Cigarini,75,173146
,Benny,Feilhaber,75,173370
,Matías,Fernández,75,174549
Fran Rico,Francisco,Rico Castro,75,174859
,Kevin,McDonald,75,175314
Baiano,Wanderson,Souza Carneiro,75,175847
,Sven,Kums,75,176009
,Simone,Missiroli,75,176553
,Ola,Toivonen,75,176794
,Marcelo,Díaz,75,176930
Bojan,Bojan,Krkić Pérez,75,176993
,Nabil,Dirar,75,177525
Vieirinha,Adelino André,Vieira de Freitas,75,177553
,Jonathan,De Guzmán,75,177569
,Sebastian,Prödl,75,177578
,Lucas,Deaux,75,178051
,Ryan,Donk,75,178255
,Lee,Nguyen,75,178284
Varela,Fernando Lopes,dos Santos Varela,75,178614
,Ola,Kamara,75,179551
Nuno Pinto,Nuno Miguel,Sousa Pinto,75,179884
Luisinho,Luis Carlos,Correia Pinto,75,180359
,Matúš,Kozáčik,75,181256
,Bořek,Dočkal,75,181271
,Odil,Akhmedov,75,181573
Titi,Cristian,Chagas Tarouco,75,182001
,Claudio,Beauvue,75,183068
Oier,Oier,Olazábal Paredes,75,183141
,Raúl,Bobadilla,75,183249
,Fabian,Frei,75,183346
,Slobodan,Rajković,75,183606
,Anthony,Mounier,75,183870
,Facundo,Roncaglia,75,183966
,Martin,Kelly,75,184037
,Ismaël,Traoré,75,184873
,James,Chester,75,186130
,Patrick,van Aanholt,75,186190
,Leroy,Fer,75,186351
,Jan-Arie,van der Heijden,75,186456
,Tamás,Kádár,75,186648
,Matías,Alustiza,75,186650
,Albert,Adomah,75,186783
,Stefan,Johansen,75,187043
,Mame,Diouf,75,187084
,Denis,Glushakov,75,187366
,Jorge,Hernández,75,187421
,Dmitriy,Tarasov,75,187659
,Mauricio,Isla,75,187800
Rochina,Rubén,Rochina Naixes,75,188103
,Leon,Balogun,75,188182
,Abel,Hernández,75,188484
,Mohamed,Diamé,75,188556
Serey Dié,Sereso Geoffroy,Gonzaroua Dié,75,188768
,Admir,Mehmedi,75,188770
,Mirko,Valdifiori,75,188876
,Francesco,Caputo,75,189053
,Jonathan,Kodjia,75,189099
,Jimmy,Durmaz,75,189207
Saúl Berjón,Saúl,Berjón Pérez,75,189211
,Marcel,Risse,75,189234
,Ashley,Westwood,75,189280
,Jonathan,Urretaviscaya,75,189338
,Cristopher,Toselli,75,189357
,Junior,Stanislas,75,189446
,Junior,Hoilett,75,189462
,Davide,Santon,75,189484
Alcalá,Pedro,Alcalá Guirado,75,189709
,Aleksandar,Prijović,75,189757
Éder,Éder,Macedo Lopes,75,189795
,Karl-Johan,Johnsson,75,190120
Rubén Pérez,Rubén Salvador,Pérez del Mármol,75,190156
,Johannes,Hopf,75,190209
Balenziaga,Mikel,Balenziaga,75,190223
,Tony,Jantschke,75,190520
,Ike,Opara,75,190558
,Matías,Caruzzo,75,190576
,Sebastián,Blanco,75,190577
,Darwin,Quintero,75,190607
Sandro,Sandro,R. G. Cordeiro,75,190782
,Adam,Smith,75,190885
,Ervin,Zukanović,75,190931
,Deni,Alar,75,191123
,Sébastien,Corchia,75,191210
,Yūya,Ōsako,75,191565
,Maya,Yoshida,75,191648
,Pedro,Morales,75,191725
,Néstor,Araújo,75,192041
,Georgiy,Schennikov,75,192087
Bóveda,Eneko,Bóveda Altube,75,192122
,Vladislav,Ignatiev,75,192146
Bruno César,Bruno César,Zanaki,75,192202
José Cañas,José Alberto,Cañas Ruiz-Herrera,75,192238
,Lamine,Sané,75,192333
Fontàs,Andreu,Fontàs Prat,75,192476
,Maxime,Lestienne,75,192537
,Emmanuel,Badu,75,192575
,Maxime,Le Marchand,75,192725
,Ezequiel,Schelotto,75,192838
,Alan,Pulido,75,192930
,Marvin,Zeegelaar,75,193062
,Maxime,Gonalons,75,193116
,Hanno,Behrens,75,193425
,Nick,Viergever,75,193440
Fábio Espinho,Fábio Ricardo,Gomes Fonseca,75,193692
Portillo,Francisco,Portillo Soler,75,193844
,Jano,Ananidze,75,193897
,Andy,Delort,75,193983
Pelé,Judilson Mamadu,Tuncara Gomes,75,194020
,Andre,Gray,75,194138
Keko,Sergio,Gontán Gallardo,75,194174
,Nenad,Tomović,75,194203
,Stefan,Ilsanker,75,194665
,Jagoš,Vuković,75,194947
Borja Bastón,Borja,González Tomás,75,194996
,Mathew,Leckie,75,195033
,Miloš,Ninković,75,195088
Fransérgio,Fransérgio,Rodrigues Barbosa,75,195096
Javi López,Javier,López Rodríguez,75,195361
Joel Robles,Joel,Robles Blázquez,75,195668
,Esteban,Paredes,75,196073
Mexer,Edson Andre,Sitoe,75,196801
,Karim,Ansarifard,75,197136
,Jonas,Martin,75,197813
,Jens,Toornstra,75,198006
,Marco,Höger,75,198113
Samu Saiz,Samuel,Saiz Alonso,75,198143
Guerrero,Miguel Ángel,Guerrero Martín,75,198150
,Matěj,Vydra,75,198331
,Josip,Drmić,75,198504
,Óscar,Murillo,75,198581
Raúl Navas,Raúl,Rodríguez Navas,75,198614
,Jonas,Svensson,75,198657
,Fredrik,Midtsjø,75,198658
,Nathan,Redmond,75,198719
,Saphir,Taïder,75,198760
,Romain,Amalfitano,75,198817
Aday Benítez,Aday,Benítez Caraballo,75,198843
,Harun,Tekin,75,199417
,Bruno,Martins Indi,75,199550
,Musa,Çağıran,75,199601
,Matz,Sels,75,199641
,Leandro,González Pirez,75,199669
,Erik,Sviatchenko,75,199745
,Lars,Unnerstall,75,199833
,Sonny,Kittel,75,199912
,Marco,Bizot,75,200110
,Barry,Douglas,75,200443
,Jeff,Hendrick,75,200478
Carles Planas,Carles,Planas Antolínez,75,200517
,Liam,Moore,75,200758
,Nicolas,De Préville,75,201073
,Ladislav,Krejčí,75,201215
,Frederik,Rønnow,75,201269
,Camillo,Ciano,75,201313
Pablo,Pablo,Nascimento Castro,75,201315
,Cristiano,Biraghi,75,201389
,Ahmed,Musa,75,201818
,Ermin,Bičakčić,75,201860
,Andreas,Cornelius,75,201943
,Alfred,Gomis,75,201976
,Nicolas,Benezet,75,202035
Naldo,Edinaldo,Gomes Pereira,75,202054
,Jasmin,Kurtić,75,202061
,Johannes,Geis,75,202087
,Matthias,Ostrzolek,75,202115
,Konstantinos,Stafylidis,75,202151
,Stuart,Armstrong,75,202282
,Abdoulay,Diaby,75,202330
Fabrício,Fabrício,dos Santos Messias,75,202350
William,William,Alves de Oliveira,75,202395
,Aden,Flint,75,202408
,Danny,da Costa,75,202429
Rodrigo Ely,Rodrigo,Ely,75,202445
,Leigh,Griffiths,75,202539
,Thulani,Serero,75,202746
,Thievy,Bifouma,75,202882
,Ogenyi,Onazi,75,202934
,Robin,Knoche,75,203030
,Joe,Bryan,75,203505
,Ognjen,Vranješ,75,203624
,Alfredo,Donnarumma,75,203668
,Felipe,Gutiérrez,75,203796
,Anthony,Knockaert,75,203910
,Emir,Dilaver,75,204043
,Yassin,Ayoub,75,204102
,Sékou,Sanogo,75,204156
,Charly,Musonda,75,204233
,Julian,Korb,75,204307
,Kevin,Stöger,75,204497
Rubén Pardo,Rubén,Pardo Gutiérrez,75,204523
,Ricardo,Álvarez,75,204555
,Ole Kristian,Selnæs,75,204612
Toño García,Antonio,García Aranda,75,204757
Nildo Petrolina,Evanildo,Fernandes Gomes,75,204823
,Aleksandar,Katai,75,204874
,Prince-Désir,Gouano,75,204886
,Moritz,Bauer,75,204904
,Soualiho,Meïté,75,205391
,Sebastián,Sosa,75,205409
,Michael,Krmenčík,75,205478
Luís Hernández,Luís,Hernández Rodríguez,75,205590
,Christian,Atsu,75,205601
,Alessio,Cragno,75,205659
,Dwight,Gayle,75,205670
,Stefano,Denswil,75,205756
,Amin,Younes,75,205966
,Calum,Chambers,75,205989
,Yvon,Mvogo,75,206003
,Sam,Johnstone,75,206075
Júnior Urso,Ocimar,Almeida Júnior,75,206171
Bigas,Pedro,Bigas Rigo,75,206222
,Jordan,Ferri,75,206306
,Sergiy,Kryvtsov,75,206414
,Mykola,Morozyuk,75,206424
,Bogdan,Butko,75,206427
,Yassine,Benzia,75,206436
,Simon,Falette,75,206553
Insua,Pablo,Insua Blanco,75,207431
,Jürgen,Damm,75,207444
,Filip,Helander,75,207555
,Robin,Olsen,75,207557
Paulinho,Paulo Henrique,Soares dos Santos,75,207734
,Kaan,Ayhan,75,207790
,Ryan,Fraser,75,207807
,Tobias,Strobl,75,207894
,Erik,Durm,75,207920
Lucas Lima,Lucas Pedro,Alves de Lima,75,207924
,Tom,Rogić,75,207928
,Oumar,Niasse,75,208339
,Alfie,Mawson,75,208534
,Alfred,Duncan,75,208535
,Martín,Mantovani,75,208607
,Christopher,Jullien,75,208615
Guilherme,Guilherme,dos Santos Torres,75,209236
,Gaëtan,Laborde,75,209519
,Pierrick,Capelle,75,209781
,Sam,Larsson,75,209782
,Christian,Günter,75,209846
,Kevin,Wimmer,75,209997
André Ramalho,André,Ramalho Silva,75,210007
,Hany,Mukhtar,75,210021
,Fabian,Schär,75,210047
,Ahmed,Hassan,75,210259
,Rachid,Ghezzal,75,210372
João Teixeira,João Carlos,Vilaça Teixeira,75,210377
,Ridgeciano,Haps,75,210384
,Albert,Rusnák,75,210423
,Abdoulaye,Touré,75,210450
,Darwin,Machís,75,210463
,Louis,Schaub,75,210489
,Renato,Steffen,75,210537
Júlio Tavares,Júlio Carolino,Tavares,75,210722
Douglas Santos,Douglas,Justino de Melo,75,210822
,Chancel,Mbemba,75,210897
Carles Gil,Carles,Gil Pareja,75,210930
,Callum,McGregor,75,211093
Pedro Santos,Pedro Miguel,Martins Santos,75,211119
,Paolo,Hurtado,75,211124
,Guillermo,Fernández,75,211269
,Danilo,Cataldi,75,211361
,Ibrahim,Amadou,75,211382
,Moussa,Dembélé,75,211591
,Marc,Schnatterer,75,211703
,Kevin,Akpoguma,75,211856
,Florian,Niederlechner,75,211899
,Jérôme,Gondorf,75,211907
,Robert,Berić,75,212023
,Camilo,Vargas,75,212067
,Enzo,Roco,75,212225
Ivan Cavaleiro,Ivan Ricardo,Cavaleiro,75,212267
Medrán,Álvaro,Medrán Just,75,212476
,Leonel,Vangioni,75,212541
,Rodrigo Javier,De Paul,75,212616
Tozé,António José,Pinheiro Carvalho,75,212729
,Óscar,Duarte,75,212772
,Daniel,Amartey,75,212883
,Laurent,Depoitre,75,212933
,Sven,van Beek,75,213000
,Frank,Acheampong,75,213013
,Matías,Cabrera,75,213113
,Diego,Rolán,75,213114
Adama,Adama,Traoré Diarra,75,213956
,Diego,Rodríguez,75,213974
,José,Cuadrado,75,214110
,Daniel,Bocanegra,75,214196
,Felipe,Pardo,75,214207
,Vladimir,Hernández,75,214327
,Luis,Quiñones,75,214491
,Alexander,Mejía,75,214605
,Jeremy,Toljan,75,214622
Postigo,Sergio,Postigo Redondo,75,214639
,Paolo,Goltz,75,214763
,Silvio,Romero,75,214781
,Emmanuel,Mas,75,214955
,Brahian,Alemán,75,215018
,Gastón,Lezcano,75,215042
,Héctor,Villalba,75,215107
,Rubén,Botta,75,215199
,Guido,Herrera,75,215251
,Lucas,Zelarayán,75,215270
,Guido,Carrillo,75,215334
,Deniz,Türüç,75,215531
Burgui,Jorge,Franco Alviz,75,215644
,Andrea,Petagna,75,215689
,Mike,Maignan,75,215698
Marlon Santos,Marlon,da Silva Barbosa,75,215703
,Maxwel,Cornet,75,215798
Idris,Idrissa,Mandiang,75,216097
,Marcel,Tisserand,75,216247
,Seko,Fofana,75,216320
,Josip,Pivarić,75,216356
Gonçalo Paciência,Gonçalo,Mendes Paciência,75,216452
Carlos Mané,Carlos Manuel,Cardoso Mané,75,216749
,Andre,Blake,75,216939
,Rómulo,Otero,75,217097
,Lukas,Lerager,75,217605
Djavan,Djavan,da Silva Ferreira,75,217844
,Théo,Bongonda,75,217877
,Khama,Billiat,75,218154
,Alejandro,Silva,75,218868
,Sebastián,Cristóforo,75,219712
Edgar Méndez,Edgar Antonio,Méndez Ortega,75,219728
Bruno Varela,Bruno Miguel,Semedo Varela,75,219754
,Baptiste,Santamaria,75,219792
,Roger,Martínez,75,219797
,Hans,Hateboer,75,220093
,Bongani,Zungu,75,220245
,Alberto,Grassi,75,220475
,Antonio,Barreca,75,220493
Ailton,Ailton,Ferreira Silva,75,220658
,James,Maddison,75,220697
,Ryan,Thomas,75,220763
,Badou,Ndiaye,75,221000
,Yoan,Cardinale,75,221130
Wu Lei,Lei,Wu,75,221445
Lee Jae Sung,Jae Sung,Lee,75,221671
Gabriel Boschilia,Gabriel,Boschilia,75,221701
Hélder Costa,Hélder Wander,Sousa Azevedo Costa,75,221743
,Erik,Thommy,75,221797
,Manuel,Locatelli,75,222077
,Lukas,Klostermann,75,222331
Unai López,Unai,López Cabrera,75,222390
,Harry,Winks,75,222400
Ivi,Iván,López Álvarez,75,222467
Otávio,Otávio Henrique,Passos Santos,75,222715
Jony,Jonathan,Rodríguez Menéndez,75,222943
,Ömer Ali,Şahiner,75,223017
,Andrea,Conti,75,223329
,Maxime,Lopez,75,224030
,Ramy,Bensebaini,75,224196
,François,Kamano,75,224218
,Orbelín,Pineda,75,224574
,Gian Marco,Ferrari,75,224808
Bustinza,Unai,Bustinza Martínez,75,224869
,Alex,Meret,75,225116
Merino,Mikel,Merino Zazón,75,225193
,Andrés,Ibargüen,75,225356
,Constantin,Budescu,75,225359
,Konrad,Laimer,75,225375
,Rolando,Mandragora,75,225439
Lekue,Iñigo,Lekue Martínez,75,225523
,Guido,Rodríguez,75,225659
,Kelechi,Iheanacho,75,225719
,Cecilio,Domínguez,75,225878
Thiago Maia,Thiago,Maia Alencar,75,225945
,Nicolas,Pépé,75,226110
Sabin Merino,Sabin,Merino Zuloaga,75,226215
Aritz,Aritz,Elustondo,75,226221
André Horta,André Filipe,Luz Horta,75,226370
,Alejandro,Romero Gamarra,75,226376
,Marcus,Coco,75,226414
,Omar,Colley,75,226536
Rubén Duarte,Rubén,Duarte Sánchez,75,226637
,Cyle,Larin,75,226777
,Frédéric,Guilbert,75,227222
,André Franck,Zambo Anguissa,75,227236
Melero,Gonzalo,Melero Manzanares,75,227508
